correct_answer;difficult_level;id;if_correct;if_wrong;question;response_type;tags;wrong_answer
"good morning";5;;;;"traduci la parola<br><img src=""http://www.auguriebigliettigratis.it/img_biglietti/saluti/buongiorno/buongiorno11.jpg"" height=""300""><div style=""text-align: center;"">buongiorno</div>|traduci la parola<br><img src=""http://gaetanocantalini.files.wordpress.com/2012/05/329282_269317179772140_210347039002488_692381_1860318859_o.jpg"" height=""300""><div style=""text-align: center;"">buongiorno</div>|traduci la parola<br><img src=""http://gruppi.chatta.it/_resources/upload/photos/la-stanza-del-sorriso/3ea9aa49-94e1-4ae3-a756-5bec22db5ed5.jpg"" height=""300""><div style=""text-align: center;"">buongiorno</div>|traduci la parola<br><img src=""http://www.andromedafree.it/gifanimate/archivi/buongiorno/pagine/26/gif_animate_buongiorno_02.gif"" height=""300""><div style=""text-align: center;"">buongiorno</div>|traduci la parola<br><img src=""http://1.bp.blogspot.com/-0SxivSs5cfg/T5-fcymjIgI/AAAAAAAAA4c/E9GlNzcz5Ms/s1600/buongiorno+bella+gente.png"" height=""300""><div style=""text-align: center;"">buongiorno</div>|traduci la parola<br><img src=""http://i.imgur.com/DIEtwyA.gif"" height=""300""><div style=""text-align: center;"">buongiorno</div>|";;;
hello;5;;;;"traduci la parola<br><img src=""http://c.universalscraps.com/files/it/ciao/ciao_142.gif"" height=""300""><div style=""text-align: center;"">ciao (quando arrivi)</div>|traduci la parola<br><img src=""http://www.emoticonvillage.altervista.org/_altervista_ht/Testuali/Ciao/CiaoText/EmoticonVillageCiaoText%20%284%29.gif"" height=""300""><div style=""text-align: center;"">ciao (quando arrivi)</div>|traduci la parola<br><img src=""http://i29.tinypic.com/2cqemi9.jpg"" height=""300""><div style=""text-align: center;"">ciao (quando arrivi)</div>|traduci la parola<br><img src=""http://s10.imagestime.com/out.php/i865852_104444Ciao01.gif"" height=""300""><div style=""text-align: center;"">ciao (quando arrivi)</div>|traduci la parola<br><img src=""http://1.bp.blogspot.com/-hbwyLWxd9pc/UQLkb54TcnI/AAAAAAAACHE/pzZhx5ixGPc/s1600/Ciao.gif"" height=""300""><div style=""text-align: center;"">ciao (quando arrivi)</div>|traduci la parola<br><img src=""http://www.emoticonvillage.altervista.org/_altervista_ht/Testuali/Ciao/CiaoGif/EmoticonVillageCiaoGif%20%281%29.gif"" height=""300""><div style=""text-align: center;"">ciao (quando arrivi)</div>|traduci la parola<br><img src=""http://www.picgifs.com/glitter-gifs/c/ciao/picgifs-ciao-382211.gif"" height=""300""><div style=""text-align: center;"">ciao (quando arrivi)</div>|";;;
"bye bye|good bye";5;;;;"traduci la parola<br><img src=""https://lh4.googleusercontent.com/-DglHURx58x4/TW5drUygGEI/AAAAAAAABG8/3ekjh4jIpDQ/s1600/a+presto.bmp"" height=""300""><div style=""text-align: center;"">ciao (quando vai via)</div>|traduci la parola<br><img src=""http://www.alessandroristori.com/wp-content/uploads/disco-arrivederci.jpg"" height=""300""><div style=""text-align: center;"">ciao (quando vai via)</div>|traduci la parola<br><img src=""http://www.fundacioncivil.org/wp-content/uploads/2012/04/ARRIVEDERCI.jpg"" height=""300""><div style=""text-align: center;"">ciao (quando vai via)</div>|";;;
"good night";5;;;;"traduci la parola<br><img src=""http://static.pourfemme.it/pfwww/fotogallery/625X0/75193/buonanotte-con-fate.jpg"" height=""300""><div style=""text-align: center;"">buonanotte</div>|traduci la parola<br><img src=""http://c.universalscraps.com/files/it/buona.notte/buona_notte_102.gif"" height=""300""><div style=""text-align: center;"">buonanotte</div>|traduci la parola<br><img src=""http://www.cartolinagratis.com/card/cuccioli_buona_notte_1b.jpg"" height=""300""><div style=""text-align: center;"">buonanotte</div>|traduci la parola<br><img src=""http://www.auguriebigliettigratis.it/img_biglietti/saluti/buonanotte/buona_notte.jpg"" height=""300""><div style=""text-align: center;"">buonanotte</div>|";;;
"good evening";5;;;;"traduci la parola<br><img src=""https://ilcieloeblusopralenuvole090683.files.wordpress.com/2014/07/buonasera0jtmg8.gif?w=564"" height=""300""><div style=""text-align: center;"">buonasera</div>|traduci la parola<br><img src=""http://imblog.aufeminin.com/blog/D20060912/83294_772313415_bs_logo_eteen_H203804_L.jpg"" height=""300""><div style=""text-align: center;"">buonasera</div>|traduci la parola<br><img src=""http://www.auguriebigliettigratis.it/img_biglietti/saluti/buonasera/buonasera2.jpg"" height=""300""><div style=""text-align: center;"">buonasera</div>|";;;
red;5;;;;"traduci la parola<br><img src=""http://upload.wikimedia.org/wikipedia/commons/2/2c/600px_Rosso3.png"" height=""300""><div style=""text-align: center;"">rosso</div>|traduci la parola<br><img src=""http://cdns2.freepik.com/foto-gratuito/materiale-stropicciato--rosso--texture--textures_3115383.jpg"" height=""300""><div style=""text-align: center;"">rosso</div>|traduci la parola<br><img src=""http://www.romainrima.it/online/wp-content/uploads/2011/09/colori-rosso.jpg"" height=""300""><div style=""text-align: center;"">rosso</div>|";;colori;
orange;5;;;;"traduci la parola<br><img src=""http://upload.wikimedia.org/wikipedia/commons/4/47/Arancione2.svg"" height=""300""><div style=""text-align: center;"">arancione</div>|traduci la parola<br><img src=""http://2.bp.blogspot.com/_cwLd_A5E8Ws/TGDlvcBCaXI/AAAAAAAABKc/q4Bk5fu1BJM/s1600/DSC08836.JPG"" height=""300""><div style=""text-align: center;"">arancione</div>|traduci la parola<br><img src=""http://codicicolori.com/images/sampledata/arancione-colore.jpg"" height=""300""><div style=""text-align: center;"">arancione</div>|";;colori;
black;5;;;;"traduci la parola<br><img src=""http://upload.wikimedia.org/wikipedia/commons/c/cd/600px_Nero.png"" height=""300""><div style=""text-align: center;"">nero</div>|traduci la parola<br><img src=""http://www.giocattolicreativi.it/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/2/82301.jpg"" height=""300""><div style=""text-align: center;"">nero</div>|traduci la parola<br><img src=""http://www.matrimonioplanner.com/wordpress/wp-content/uploads/2013/10/colore_nero_9x9-1024x1024.jpg"" height=""300""><div style=""text-align: center;"">nero</div>|traduci la parola<br><img src=""http://www.ilgiardinodegliilluminati.it/images/colori/nero.jpg"" height=""300""><div style=""text-align: center;"">nero</div>|";;colori;
gray|grey;5;;;;"traduci la parola<br><img src=""http://upload.wikimedia.org/wikipedia/commons/7/7b/600px_Grigio.png"" height=""300""><div style=""text-align: center;"">grigio</div>|traduci la parola<br><img src=""http://www.dettagliperfetti.com/2109-4203-large_default/sabbia-colore-grigio-tubo-da-680-gr-accessori-e-bomboniere-per-matrimonio-eventi-e-batterismi.jpg"" height=""300""><div style=""text-align: center;"">grigio</div>|";;colori;
white;5;;;;"traduci la parola<br><img src=""http://upload.wikimedia.org/wikipedia/commons/8/8f/Bianco.svg"" height=""300""><div style=""text-align: center;"">bianco</div>|traduci la parola<br><img src=""http://www.ciroma.org/site/wp-content/uploads/2012/01/bianco.jpg"" height=""300""><div style=""text-align: center;"">bianco</div>|traduci la parola<br><img src=""http://www.faifesta.it/3106-2386-thickbox/100-palloncini-cuore-medio-in-lattice-colore-bianco.jpg"" height=""300""><div style=""text-align: center;"">bianco</div>|traduci la parola<br><img src=""http://www.sognipedia.it/wp-content/uploads/2011/08/colore-bianco-sognare-significato-interpretazione-numeri.jpg"" height=""300""><div style=""text-align: center;"">bianco</div>|";;colori;
pink;5;;;;"traduci la parola<br><img src=""http://upload.wikimedia.org/wikipedia/commons/6/69/600px_Lilla.png"" height=""300""><div style=""text-align: center;"">rosa</div>|traduci la parola<br><img src=""http://www.matrimonioplanner.com/wordpress/wp-content/uploads/2013/05/colore_rosa_9x9-1024x1024.jpg"" height=""300""><div style=""text-align: center;"">rosa</div>|traduci la parola<br><img src=""http://cdns2.freepik.com/foto-gratuito/tessuto--tessuto-rosa--tessuto--colore-rosa_3115319.jpg"" height=""300""><div style=""text-align: center;"">rosa</div>|traduci la parola<br><img src=""http://www.tuttoperleunghie.it/public/articoli/rosa%20pastello.jpg"" height=""300""><div style=""text-align: center;"">rosa</div>|";;colori;
brown;5;;;;"traduci la parola<br><img src=""http://upload.wikimedia.org/wikipedia/commons/7/72/600px_Marrone.png"" height=""300""><div style=""text-align: center;"">marrone</div>|traduci la parola<br><img src=""http://www.matrimonioplanner.com/wordpress/wp-content/uploads/2013/10/colore_marrone_9x9-1024x1024.jpg"" height=""300""><div style=""text-align: center;"">marrone</div>|traduci la parola<br><img src=""http://www.italyalbum.it/web/wp-content/uploads/colore-marrone-ch.jpg"" height=""300""><div style=""text-align: center;"">marrone</div>|";;colori;
violet;5;;;;"traduci la parola<br><img src=""http://upload.wikimedia.org/wikipedia/commons/6/67/Viola.svg"" height=""300""><div style=""text-align: center;"">viola</div>|traduci la parola<br><img src=""http://static.myluxury.it/myluxury/fotogallery/625X0/26719/ombrello-colore-viola.jpg"" height=""300""><div style=""text-align: center;"">viola</div>|traduci la parola<br><img src=""http://www.affaritaliani.it/static/upl/pom/pomodori_viola.jpg"" height=""300""><div style=""text-align: center;"">viola</div>|traduci la parola<br><img src=""http://www.copygirlonline.com/wp-content/uploads/2013/09/viola.jpg"" height=""300""><div style=""text-align: center;"">viola</div>|traduci la parola<br><img src=""http://ilclubdeigrafomani.files.wordpress.com/2013/05/viola.jpg"" height=""300""><div style=""text-align: center;"">viola</div>|traduci la parola<br><img src=""http://www.greenme.it/images/easyblog_images/16439/b2ap3_thumbnail_viola.jpg"" height=""300""><div style=""text-align: center;"">viola</div>|";;colori;
blue;5;;;;"traduci la parola<br><img src=""http://upload.wikimedia.org/wikipedia/commons/8/89/600px_Blu.png"" height=""300""><div style=""text-align: center;"">blu</div>|traduci la parola<br><img src=""http://www.oikos-group.it/Content/img/pigmento-blu.jpg"" height=""300""><div style=""text-align: center;"">blu</div>|traduci la parola<br><img src=""http://www.davidebertozzi.it/wp-content/uploads/2012/07/blu-di-persia.jpg"" height=""300""><div style=""text-align: center;"">blu</div>|traduci la parola<br><img src=""http://www.deabyday.tv/data/guides/bellezza-e-stile/stile/Come-abbinare-il-colore-blu-elettrico/image_big_16_9/come+abbinare+il+blu+elettrico.jpg"" height=""300""><div style=""text-align: center;"">blu</div>|traduci la parola<br><img src=""http://www.lauramoroni.com/wp-content/uploads/2012/09/4288414-di-colore-blu-satinato-tiro-da-sopra-con-pieghe-e-pieghe-di-creare-tutti-i-tipi-di-forme-e-ombre-1024x683.jpg"" height=""300""><div style=""text-align: center;"">blu</div>|";;colori;
yellow;5;;;;"traduci la parola<br><img src=""http://upload.wikimedia.org/wikipedia/commons/c/c2/600px_Giallo.png"" height=""300""><div style=""text-align: center;"">giallo</div>|traduci la parola<br><img src=""http://www.gasup.it/picture/prod/zoom/giallo%20lamborghini%2015x15cm.jpg"" height=""300""><div style=""text-align: center;"">giallo</div>|traduci la parola<br><img src=""http://www.tessituraselva.com/tavola-colore/tavolacolori/Giallo1195det.jpg"" height=""300""><div style=""text-align: center;"">giallo</div>|traduci la parola<br><img src=""http://lavocedelquartiere.it/wp-content/uploads/2014/02/colore-giallo-159569.jpg"" height=""300""><div style=""text-align: center;"">giallo</div>|";;colori;
green;5;;;;"traduci la parola<br><img src=""http://upload.wikimedia.org/wikipedia/commons/2/24/600px_Verde.png"" height=""300""><div style=""text-align: center;"">verde</div>|traduci la parola<br><img src=""http://www.eroma.it/wp-content/uploads/2012/02/verde-que-te-quiero-verde.jpg"" height=""300""><div style=""text-align: center;"">verde</div>|traduci la parola<br><img src=""http://2.bp.blogspot.com/-AnFGHuvz938/Tg22vURgLBI/AAAAAAAAB8I/N1BypPVIV7A/s1600/verde+3.jpg"" height=""300""><div style=""text-align: center;"">verde</div>|traduci la parola<br><img src=""http://www.cieliparalleli.com/images/stories/013img2012/52823_verde_material_big.png"" height=""300""><div style=""text-align: center;"">verde</div>|";;colori;
kite;5;;;;"traduci la parola<br><img src=""http://www.cn24tv.it/public/images/201305/aquilone.jpg"" height=""300""><div style=""text-align: center;"">aquilone</div>|traduci la parola<br><img src=""http://www.unonotizie.it/immagini/aquilone.jpg"" height=""300""><div style=""text-align: center;"">aquilone</div>|traduci la parola<br><img src=""http://www.progettoroxana.it/roxana/staticfiles/aquilone.jpg"" height=""300""><div style=""text-align: center;"">aquilone</div>|traduci la parola<br><img src=""http://www.geometrievolanti.cacozza.it/foto%20generali/Img%20web0722frejus08.jpg"" height=""300""><div style=""text-align: center;"">aquilone</div>|traduci la parola<br><img src=""http://comefare.donnamoderna.com/wp-content/uploads/2013/02/aquiloni.jpg"" height=""300""><div style=""text-align: center;"">aquilone</div>|";;;
